Date,Ticker,Closing Price,Dividend Amount
2021-04-01,AGNC,17.020000457763672,0.0
2021-04-05,AGNC,17.0,0.0
2021-04-06,AGNC,17.010000228881836,0.0
2021-04-07,AGNC,17.110000610351562,0.0
2021-04-08,AGNC,17.15999984741211,0.0
2021-04-09,AGNC,17.059999465942383,0.0
2021-04-12,AGNC,17.170000076293945,0.0
2021-04-13,AGNC,17.219999313354492,0.0
2021-04-14,AGNC,17.360000610351562,0.0
2021-04-15,AGNC,17.329999923706055,0.0
2021-04-16,AGNC,17.479999542236328,0.0
2021-04-19,AGNC,17.34000015258789,0.0
2021-04-20,AGNC,17.31999969482422,0.0
2021-04-21,AGNC,17.440000534057617,0.0
2021-04-22,AGNC,17.389999389648438,0.0
2021-04-23,AGNC,17.469999313354492,0.0
2021-04-26,AGNC,17.360000610351562,0.0
2021-04-27,AGNC,17.75,0.0
2021-04-28,AGNC,17.959999084472656,0.0
2021-04-29,AGNC,17.950000762939453,0.12
2021-04-30,AGNC,17.93000030517578,0.0
2021-05-03,AGNC,17.989999771118164,0.0
2021-05-04,AGNC,17.889999389648438,0.0
2021-05-05,AGNC,18.1299991607666,0.0
2021-05-06,AGNC,18.209999084472656,0.0
2021-05-07,AGNC,18.31999969482422,0.0
2021-05-10,AGNC,18.280000686645508,0.0
2021-05-11,AGNC,18.079999923706055,0.0
2021-05-12,AGNC,17.420000076293945,0.0
2021-05-13,AGNC,17.84000015258789,0.0
2021-05-14,AGNC,18.18000030517578,0.0
2021-05-17,AGNC,18.209999084472656,0.0
2021-05-18,AGNC,18.3700008392334,0.0
2021-05-19,AGNC,18.43000030517578,0.0
2021-05-20,AGNC,18.43000030517578,0.0
2021-05-21,AGNC,18.5,0.0
2021-05-24,AGNC,18.579999923706055,0.0
2021-05-25,AGNC,18.530000686645508,0.0
2021-05-26,AGNC,18.579999923706055,0.0
2021-05-27,AGNC,18.510000228881836,0.12
2021-05-28,AGNC,18.540000915527344,0.0
2021-06-01,AGNC,18.6299991607666,0.0
2021-06-02,AGNC,18.65999984741211,0.0
2021-06-03,AGNC,18.600000381469727,0.0
2021-06-04,AGNC,18.649999618530273,0.0
2021-06-07,AGNC,18.68000030517578,0.0
2021-06-08,AGNC,18.700000762939453,0.0
2021-06-09,AGNC,18.65999984741211,0.0
2021-06-10,AGNC,18.6200008392334,0.0
2021-06-11,AGNC,17.709999084472656,0.0
2021-06-14,AGNC,17.6299991607666,0.0
2021-06-15,AGNC,17.3700008392334,0.0
2021-06-16,AGNC,17.459999084472656,0.0
2021-06-17,AGNC,16.989999771118164,0.0
2021-06-18,AGNC,16.700000762939453,0.0
2021-06-21,AGNC,17.06999969482422,0.0
2021-06-22,AGNC,17.0,0.0
